单元ID,章节号,原文,上下文关联,领域,语体要求,关键术语,命名实体,Agent译文,人工修正
chap2_para9,2,"We can imagine
tabulating
the agent function that describes any given agent; for most agents, this would be a very large table—infinite, in fact, unless we place a bound on the length of percept sequences we want to consider. Given an agent to experiment with, we can, in principle, construct this table by trying out all possible percept sequences and recording which actions the agent does in response.",前：chap2_para8 | 后：chap2_para10,AI_Popular,Formal_Academic,"agent,given,percept",无,,
chap2_para10,2,"1
The table is, of course, an
external
characterization of the agent.",前：chap2_para9 | 后：chap2_para11,AI_Popular,Semi_Formal_Academic,"table,course,external",无,,
chap2_para11,2,"Internally
, the agent function for an artificial agent will be implemented by an
agent program
. It is important to keep these two ideas distinct. The agent function is an abstract mathematical description; the agent program is a concrete implementation, running within some physical system.",前：chap2_para10 | 后：chap2_para12,AI_Popular,Semi_Formal_Academic,"agent,function,program",无,,
chap2_para12,2,"To illustrate these ideas, we use a simple example—the vacuum-cleaner world, which consists of a robotic vacuum-cleaning agent in a world consisting of squares that can be either dirty or clean.",前：chap2_para11 | 后：chap2_para13,AI_Popular,Formal_Academic,"world,illustrate,idea",无,,
chap2_para13,2,"Figure 2.2
shows a configuration with just two squares,
A
and
B
. The vacuum agent perceives which square it is in and whether there is dirt in the square. The agent starts in square
A
. The available actions are to move to the right, move to the left, suck up the dirt, or do nothing.",前：chap2_para12 | 后：chap2_para14,AI_Popular,Semi_Formal_Academic,"square,agent,dirt",无,,
chap2_para14,2,"2
One very simple agent function is the following: if the current square is dirty, then suck; otherwise, move to the other square. A partial tabulation of this agent function is shown in
Figure 2.3
and an agent program that implements it appears in
Figure 2.8
on
page 67
.",前：chap2_para13 | 后：chap2_para15,AI_Popular,Formal_Academic,"agent,function,square",无,,
chap2_para15,2,"Description
A robotic vacuum-cleaning agent and dirt are shown in block ""A"". Dirt is shown in block B.",前：chap2_para14 | 后：chap2_para16,AI_Popular,Semi_Formal_Academic,"dirt,shown,block",Dirt,,
chap2_para16,2,"×
Figure 2.2
A vacuum-cleaner world with just two locations. Each location can be clean or dirty, and the agent can move left or right and can clean the square that it occupies. Different versions of the vacuum world allow for different rules about what the agent can perceive, whether its actions always succeed, and so on.",前：chap2_para15 | 后：chap2_para17,AI_Popular,Semi_Formal_Academic,"world,location,clean",无,,
chap2_para17,2,"Looking at
Figure 2.3
, we see that various vacuum-world agents can be defined simply by filling in the right-hand column in various ways. The obvious question, then, is this:
What is the right way to fill out the table?",前：chap2_para16 | 后：chap2_para18,AI_Popular,Semi_Formal_Academic,"various,way,looking",无,,
chap2_para18,2,"In other words, what makes an agent good or bad, intelligent or stupid? We answer these questions in the next section.",前：chap2_para17 | 后：chap2_para19,AI_Popular,Semi_Formal_Academic,"word,make,agent",无,,
chap2_para19,2,"Description
The block diagram starts with a block labeled Agent. Three blocks are shown inside the Agent block. The first block inside the agent block is labeled, What the world is like now. An arrow from the first block points to the second block labeled, What action I should do now. The third block is labeled Condition action rules and an arrow from the third block points to the second block. An arrow from the second block points to the Actuators. An arrow from the actuators points to a block labeled Environment, which is outside the agent block. An arrow from the environment block points to the sensors in the Agent block. An arrow from the sensors points back to the first block.",前：chap2_para18 | 后：chap2_para20,AI_Popular,Semi_Formal_Academic,"block,arrow,point",Actuators,,
chap2_para20,2,"×
Figure 2.3
Partial tabulation of a simple agent function for the vacuum-cleaner world shown in
Figure 2.2
. The agent cleans the current square if it is dirty, otherwise it moves to the other square. Note that the table is of unbounded size unless there is a restriction on the length of possible percept sequences.",前：chap2_para19 | 后：chap2_para21,AI_Popular,Semi_Formal_Academic,"figure,agent,square",无,,
chap2_para21,2,"Before closing this section, we should emphasize that the notion of an agent is meant to be a tool for analyzing systems, not an absolute characterization that divides the world into agents and non-agents. One could view a hand-held calculator as an agent that chooses the action of displaying “4” when given the percept sequence “2 + 2 =,” but such an analysis would hardly aid our understanding of the calculator. In a sense, all areas of engineering can be seen as designing artifacts that interact with the world; AI operates at (what the authors consider to be) the most interesting end of the spectrum, where the artifacts have significant computational resources and the task environment requires nontrivial decision making.",前：chap2_para20 | 后：chap2_para22,AI_Popular,Formal_Academic,"agent,world,calculator",AI,,
chap2_para22,2,"2.2Good Behavior: The Concept of Rationality
2.2
Good Behavior: The Concept of Rationality
A
rational agent
is one that does the right thing. Obviously, doing the right thing is better than doing the wrong thing, but what does it mean to do the right thing?",前：chap2_para21 | 后：chap2_para23,AI_Popular,Formal_Academic,"thing,right,behavior",无,,
chap2_para23,2,"2.2.1
Performance measures
Moral philosophy has developed several different notions of the “right thing,” but AI has generally stuck to one notion called
consequentialism
: we evaluate an agent’s behavior by its consequences. When an agent is plunked down in an environment, it generates a sequence of actions according to the percepts it receives. This sequence of actions causes the environment to go through a sequence of states. If the sequence is desirable, then the agent has performed well. This notion of desirability is captured by a
performance measure
that evaluates any given sequence of environment states.",前：chap2_para22 | 后：chap2_para24,AI_Popular,Semi_Formal_Academic,"sequence,notion,agent",AI,,
chap2_para24,2,"Humans have desires and preferences of their own, so the notion of rationality as applied to humans has to do with their success in choosing actions that produce sequences of environment states that are desirable
from their point of view.",前：chap2_para23 | 后：chap2_para25,AI_Popular,Formal_Academic,"human,desire,preference",无,,
chap2_para25,2,"Machines, on the other hand, do
not
have desires and preferences of their own; the performance measure is, initially at least, in the mind of the designer of the machine, or in the mind of the users the machine is designed for. We will see that some agent designs have an explicit representation of (a version of) the performance measure, while in other designs the performance measure is entirely implicit—the agent may do the right thing, but it doesn’t know why.",前：chap2_para24 | 后：chap2_para26,AI_Popular,Formal_Academic,"machine,performance,measure",无,,
chap2_para26,2,"Recalling Norbert Wiener’s warning to ensure that “the purpose put into the machine is the purpose which we really desire” (
page 51
), notice that it can be quite hard to formulate a performance measure correctly. Consider, for example, the vacuum-cleaner agent from the preceding section. We might propose to measure performance by the amount of dirt cleaned up in a single eight-hour shift. With a rational agent, of course, what you ask for is what you get. A rational agent can maximize this performance measure by cleaning up the dirt, then dumping it all on the floor, then cleaning it up again, and so on. A more suitable performance measure would reward the agent for having a clean floor. For example, one point could be awarded for each clean square at each time step (perhaps with a penalty for electricity consumed and noise generated).",前：chap2_para25 | 后：chap2_para27,AI_Popular,Semi_Formal_Academic,"performance,measure,agent",Norbert Wiener,,
chap2_para27,2,"As a general rule, it is better to design performance measures according to what one actually wants to be achieved in the environment, rather than according to how one thinks the agent should behave.",前：chap2_para26 | 后：chap2_para28,AI_Popular,Formal_Academic,"according,general,rule",无,,
chap2_para28,2,"Even when the obvious pitfalls are avoided, some knotty problems remain. For example, the notion of “clean floor” in the preceding paragraph is based on average cleanliness over time. Yet the same average cleanliness can be achieved by two different agents, one of which does a mediocre job all the time while the other cleans energetically but takes long breaks. Which is preferable might seem to be a fine point of janitorial science, but in fact it is a deep philosophical question with far-reaching implications. Which is better—a reckless life of highs and lows, or a safe but humdrum existence? Which is better—an economy where everyone lives in moderate poverty, or one in which some live in plenty while others are very poor? We leave these questions as an exercise for the diligent reader.",前：chap2_para27 | 后：chap2_para29,AI_Popular,Semi_Formal_Academic,"clean,average,cleanliness",无,,
chap2_para29,2,"For most of the book, we will assume that the performance measure can be specified correctly. For the reasons given above, however, we must accept the possibility that we might put the wrong purpose into the machine—precisely the King Midas problem described on
page 51
. Moreover, when designing one piece of software, copies of which will belong to different users, we cannot anticipate the exact preferences of each individual user. Thus, we may need to build agents that reflect initial uncertainty about the true performance measure and learn more about it as time goes by; such agents are described in
Chapters 15
,
17
, and
23
.",前：chap2_para28 | 后：chap2_para30,AI_Popular,Formal_Academic,"performance,measure,described",King Midas,,
chap2_para30,2,"2.2.2
Rationality
What is rational at any given time depends on four things:
•
The performance measure that defines the criterion of success.",前：chap2_para29 | 后：chap2_para31,AI_Popular,Formal_Academic,"rationality,rational,given",无,,
chap2_para31,2,"•
The agent’s prior knowledge of the environment.",前：chap2_para30 | 后：chap2_para32,AI_Popular,Semi_Formal_Academic,"agent,knowledge,environment",无,,
chap2_para32,2,"•
The actions that the agent can perform.",前：chap2_para31 | 后：chap2_para33,AI_Popular,Semi_Formal_Academic,"action,agent,perform",无,,
chap2_para33,2,"•
The agent’s percept sequence to date.",前：chap2_para32 | 后：chap2_para34,AI_Popular,Semi_Formal_Academic,"agent,percept,sequence",无,,
chap2_para34,2,"This leads to a
definition of a rational agent
:
For each possible percept sequence, a rational agent should select an action that is expected to maximize its performance measure, given the evidence provided by the percept sequence and whatever built-in knowledge the agent has.",前：chap2_para33 | 后：chap2_para35,AI_Popular,Formal_Academic,"agent,rational,percept",无,,
chap2_para35,2,"Consider the simple vacuum-cleaner agent that cleans a square if it is dirty and moves to the other square if not; this is the agent function tabulated in
Figure 2.3
. Is this a rational agent? That depends! First, we need to say what the performance measure is, what is known about the environment, and what sensors and actuators the agent has. Let us assume the following:
•
The performance measure awards one point for each clean square at each time step, over a “lifetime” of 1000 time steps.",前：chap2_para34 | 后：chap2_para36,AI_Popular,Semi_Formal_Academic,"agent,square,clean",无,,
chap2_para36,2,"•
The “geography” of the environment is known
a priori
(
Figure 2.2
) but the dirt distribution and the initial location of the agent are not. Clean squares stay clean and sucking cleans the current square. The
Right
and
Left
actions move the agent one square except when this would take the agent outside the environment, in which case the agent remains where it is.",前：chap2_para35 | 后：chap2_para37,AI_Popular,Semi_Formal_Academic,"agent,clean,square",无,,
chap2_para37,2,"•
The only available actions are
Right, Left,
and
Suck.",前：chap2_para36 | 后：chap2_para38,AI_Popular,Semi_Formal_Academic,"available,action,left",无,,
chap2_para38,2,"•
The agent correctly perceives its location and whether that location contains dirt.",前：chap2_para37 | 后：chap2_para39,AI_Popular,Semi_Formal_Academic,"location,agent,perceives",无,,
chap2_para39,2,Under these circumstances the agent is indeed rational; its expected performance is at least as good as any other agent’s.,前：chap2_para38 | 后：chap2_para40,AI_Popular,Semi_Formal_Academic,"agent,circumstance,rational",无,,
chap2_para40,2,"One can see easily that the same agent would be irrational under different circumstances. For example, once all the dirt is cleaned up, the agent will oscillate needlessly back and forth; if the performance measure includes a penalty of one point for each movement, the agent will fare poorly. A better agent for this case would do nothing once it is sure that all the squares are clean. If clean squares can become dirty again, the agent should occasionally check and re-clean them if needed. If the geography of the environment is unknown, the agent will need to
explore
it. Exercise
2.",前：chap2_para39 | 后：chap2_para41,AI_Popular,Semi_Formal_Academic,"agent,square,clean",无,,
chap2_para41,2,"VACR
asks you to design agents for these cases.",前：chap2_para40 | 后：chap2_para42,AI_Popular,Semi_Formal_Academic,"vacr,asks,design",无,,
chap2_para42,2,"2.2.3
Omniscience, learning, and autonomy
We need to be careful to distinguish between rationality and
omniscience
. An omniscient agent knows the
actual
outcome of its actions and can act accordingly; but omniscience is impossible in reality. Consider the following example: I am walking along the Champs Elysées one day and I see an old friend across the street. There is no traffic nearby and I’m
not otherwise engaged, so, being rational, I start to cross the street. Meanwhile, at 33,000 feet, a cargo door falls off a passing airliner,
3
and before I make it to the other side of the street I am flattened. Was I irrational to cross the street? It is unlikely that my obituary would read “Idiot attempts to cross street.”
This example shows that rationality is not the same as perfection. Rationality maximizes
expected
performance, while perfection maximizes
actual
performance. Retreating from a requirement of perfection is not just a question of being fair to agents. The point is that if we expect an agent to do what turns out after the fact to be the best action, it will be impossible to design an agent to fulfill this specification—unless we improve the performance of crystal balls or time machines.",前：chap2_para41 | 后：chap2_para43,AI_Popular,Semi_Formal_Academic,"agent,street,rationality",Champs Elysées,,
chap2_para43,2,"Our definition of rationality does not require omniscience, then, because the rational choice depends only on the percept sequence
to date.",前：chap2_para42 | 后：chap2_para44,AI_Popular,Semi_Formal_Academic,"definition,rationality,require",无,,
chap2_para44,2,"We must also ensure that we haven’t inadvertently allowed the agent to engage in decidedly underintelligent activities. For example, if an agent does not look both ways before crossing a busy road, then its percept sequence will not tell it that there is a large truck approaching at high speed. Does our definition of rationality say that it’s now OK to cross the road? Far from it!",前：chap2_para43 | 后：chap2_para45,AI_Popular,Semi_Formal_Academic,"agent,road,ensure",无,,
chap2_para45,2,"First, it would not be rational to cross the road given this uninformative percept sequence: the risk of accident from crossing without looking is too great. Second, a rational agent should choose the “looking” action before stepping into the street, because looking helps maximize the expected performance. Doing actions
in order to modify future percepts
—sometimes called
information gathering
—is an important part of rationality and is covered in depth in
Chapter 15
. A second example of information gathering is provided by the
exploration
that must be undertaken by a vacuum-cleaning agent in an initially unknown environment.",前：chap2_para44 | 后：chap2_para46,AI_Popular,Formal_Academic,"looking,rational,percept",无,,
chap2_para46,2,"Our definition requires a rational agent not only to gather information but also to
learn
as much as possible from what it perceives. The agent’s initial configuration could reflect some prior knowledge of the environment, but as the agent gains experience this may be modified and augmented. There are extreme cases in which the environment is completely known
a priori
and completely predictable. In such cases, the agent need not perceive or learn; it simply acts correctly.",前：chap2_para45 | 后：chap2_para47,AI_Popular,Semi_Formal_Academic,"agent,environment,case",无,,
chap2_para47,2,"Of course, such agents are fragile. Consider the lowly dung beetle. After digging its nest and laying its eggs, it fetches a ball of dung from a nearby heap to plug the entrance. If the ball of dung is removed from its grasp
en route
, the beetle continues its task and pantomimes plugging the nest with the nonexistent dung ball, never noticing that it is missing. Evolution has built an assumption into the beetle’s behavior, and when it is violated, unsuccessful behavior results.",前：chap2_para46 | 后：chap2_para48,AI_Popular,Semi_Formal_Academic,"dung,beetle,ball",无,,
chap2_para48,2,"Slightly more intelligent is the sphex wasp. The female sphex will dig a burrow, go out and sting a caterpillar and drag it to the burrow, enter the burrow again to check all is well, drag the caterpillar inside, and lay its eggs. The caterpillar serves as a food source when the eggs hatch. So far so good, but if an entomologist moves the caterpillar a few inches away while the sphex is doing the check, it will revert to the “drag the caterpillar” step of its plan and will continue the plan without modification, re-checking the burrow, even after dozens of caterpillar-moving interventions. The sphex is unable to learn that its innate plan is failing, and thus will not change it.",前：chap2_para47 | 后：chap2_para49,AI_Popular,Formal_Academic,"caterpillar,sphex,burrow","caterpillar,caterpillar,caterpillar,caterpillar",,
chap2_para49,2,"To the extent that an agent relies on the prior knowledge of its designer rather than on its own percepts and learning processes, we say that the agent lacks
autonomy
. A rational agent should be autonomous—it should learn what it can to compensate for partial or incorrect prior knowledge. For example, a vacuum-cleaning agent that learns to predict where and when additional dirt will appear will do better than one that does not.",前：chap2_para48 | 后：chap2_para50,AI_Popular,Formal_Academic,"agent,knowledge,extent",无,,
chap2_para50,2,"As a practical matter, one seldom requires complete autonomy from the start: when the agent has had little or no experience, it would have to act randomly unless the designer gave some assistance. Just as evolution provides animals with enough built-in reflexes to survive long enough to learn for themselves, it would be reasonable to provide an artificial intelligent agent with some initial knowledge as well as an ability to learn. After sufficient experience of its environment, the behavior of a rational agent can become effectively
independent
of its prior knowledge. Hence, the incorporation of learning allows one to design a single rational agent that will succeed in a vast variety of environments.",前：chap2_para49 | 后：chap2_para51,AI_Popular,Formal_Academic,"agent,experience,learn",无,,
chap2_para51,2,"2.3The Nature of Environments
2.3
The Nature of Environments
Now that we have a definition of rationality, we are almost ready to think about building rational agents. First, however, we must think about
task environments
, which are essentially the “problems” to which rational agents are the “solutions.” We begin by showing how to specify a task environment, illustrating the process with a number of examples. We then show that task environments come in a variety of flavors. The nature of the task environment directly affects the appropriate design for the agent program.",前：chap2_para50 | 后：chap2_para52,AI_Popular,Formal_Academic,"environment,task,nature","Nature of Environments,The Nature of Environments
Now",,
chap2_para52,2,"2.3.1
Specifying the task environment
In our discussion of the rationality of the simple vacuum-cleaner agent, we had to specify the performance measure, the environment, and the agent’s actuators and sensors. We group all these under the heading of the
task environment
. For the acronymically minded, we call this the
PEAS
(
P
erformance,
E
nvironment,
A
ctuators,
S
ensors) description. In designing an agent, the first step must always be to specify the task environment as fully as possible.",前：chap2_para51 | 后：chap2_para53,AI_Popular,Semi_Formal_Academic,"environment,task,agent",无,,
chap2_para53,2,The vacuum world was a simple example; let us consider a more complex problem: an automated taxi driver.,前：chap2_para52 | 后：chap2_para54,AI_Popular,Semi_Formal_Academic,"vacuum,world,simple",无,,
chap2_para54,2,"Figure 2.4
summarizes the PEAS description for the taxi’s task environment. We discuss each element in more detail in the following paragraphs.",前：chap2_para53 | 后：chap2_para55,AI_Popular,Semi_Formal_Academic,"figure,summarizes,pea",无,,
chap2_para55,2,"Description
The block diagram starts with a block labeled Agent. There are six blocks inside the Agent block. The first block inside the agent block is labeled, What the world is like now. Arrows from the second, third, and fourth blocks labeled State, How the world evolves, and What my actions do, point to the first block. A dashed arrow from the first block points back to the state block. A solid arrow from the first block points to the fifth block labeled, What action I should do now. An arrow from the sixth block labeled, Condition action rules, points to the fifth block. An arrow from the fifth block points to the Actuators. An arrow from actuators points to the block labeled, Environment, which is outside the agent block. An arrow from the environment block to the sensors in the agent block. An arrow from the sensors points back to the first block.",前：chap2_para54 | 后：chap2_para56,AI_Popular,Semi_Formal_Academic,"block,arrow,point","State,Actuators",,
chap2_para56,2,"×
Figure 2.4
PEAS description of the task environment for an automated taxi driver.",前：chap2_para55 | 后：chap2_para57,AI_Popular,Semi_Formal_Academic,"figure,pea,description",无,,
chap2_para57,2,"First, what is the
performance measure
to which we would like our automated driver to aspire? Desirable qualities include getting to the correct destination; minimizing fuel consumption and wear and tear; minimizing the trip time or cost; minimizing violations of traffic laws and disturbances to other drivers; maximizing safety and passenger comfort; maximizing profits. Obviously, some of these goals conflict, so tradeoffs will be required.",前：chap2_para56 | 后：chap2_para58,AI_Popular,Formal_Academic,"minimizing,maximizing,first",无,,
chap2_para58,2,"Next, what is the driving
environment
that the taxi will face? Any taxi driver must deal with a variety of roads, ranging from rural lanes and urban alleys to 12-lane freeways. The roads contain other traffic, pedestrians, stray animals, road works, police cars, puddles, and potholes. The taxi must also interact with potential and actual passengers. There are also some optional choices. The taxi might need to operate in Southern California, where snow is seldom a problem, or in Alaska, where it seldom is not. It could always be driving on the right, or we might want it to be flexible enough to drive on the left when in Britain or Japan. Obviously, the more restricted the environment, the easier the design problem.",前：chap2_para57 | 后：chap2_para59,AI_Popular,Semi_Formal_Academic,"taxi,road,driving","Alaska,Britain,Japan",,
chap2_para59,2,"The
actuators
for an automated taxi include those available to a human driver: control over the engine through the accelerator and control over steering and braking. In addition, it will need output to a display screen or voice synthesizer to talk back to the passengers, and perhaps some way to communicate with other vehicles, politely or otherwise.",前：chap2_para58 | 后：chap2_para60,AI_Popular,Formal_Academic,"control,actuator,automated",无,,
chap2_para60,2,"The basic
sensors
for the taxi will include one or more video cameras so that it can see, as well as lidar and ultrasound sensors to detect distances to other cars and obstacles. To avoid speeding tickets, the taxi should have a speedometer, and to control the vehicle properly, especially on curves, it should have an accelerometer. To determine the mechanical state of the vehicle, it will need the usual array of engine, fuel, and electrical system sensors. Like many human drivers, it might want to access GPS signals so that it doesn’t get lost. Finally, it will need touchscreen or voice input for the passenger to request a destination.",前：chap2_para59 | 后：chap2_para61,AI_Popular,Formal_Academic,"sensor,taxi,vehicle",无,,
chap2_para61,2,"In
Figure 2.5
, we have sketched the basic PEAS elements for a number of additional agent types. Further examples appear in Exercise
2.",前：chap2_para60 | 后：chap2_para62,AI_Popular,Semi_Formal_Academic,"figure,sketched,basic",无,,
chap2_para62,2,"PEAS
. The examples include physical as well as virtual environments. Note that virtual task environments can be just as complex as the “real” world: for example, a
software agent
(or software robot or
softbot
) that trades on auction and reselling Web sites deals with millions of other users and billions of objects, many with real images.",前：chap2_para61 | 后：chap2_para63,AI_Popular,Semi_Formal_Academic,"example,virtual,environment",无,,
chap2_para63,2,"Description
The block diagram starts with a block labeled Agent. There are seven blocks inside the Agent block. The first block inside the agent block is labeled, What the word is like now. Arrows from the second, third, and fourth blocks labeled State, How the world evolves, and What my actions do, point to the first block. A dashed arow from the first block points back to the state block. A solid arrow from the first block points to the fifth block labeled, What it will be like if I do action ""A"". Arrows from third and fourth blocks labeled, How the world evolves and What my action do, point to fifth block. An arrow from the fifth block points to the sixth block labeled, What action I should do now. An arrow from the seventh block labeled Goals points to the sixth block. An arrow from the sixth block points to the Actuators. An arrow from the actuators points to the block labeled, Environment, which is outside the agent block. An arrow from the environment block points to the sensors in the agent block. An arrow from the sensors points back to the first block.",前：chap2_para62 | 后：chap2_para64,AI_Popular,Semi_Formal_Academic,"block,point,arrow","State,Actuators",,
chap2_para64,2,"×
Figure 2.5
Examples of agent types and their PEAS descriptions.",前：chap2_para63 | 后：chap2_para65,AI_Popular,Semi_Formal_Academic,"figure,example,agent",无,,
chap2_para65,2,"2.3.2
Properties of task environments
The range of task environments that might arise in AI is obviously vast. We can, however, identify a fairly small number of dimensions along which task environments can be categorized. These dimensions determine, to a large extent, the appropriate agent design and the applicability of each of the principal families of techniques for agent implementation. First we list the dimensions, then we analyze several task environments to illustrate the ideas. The definitions here are informal; later chapters provide more precise statements and examples of each kind of environment.",前：chap2_para64 | 后：chap2_para66,AI_Popular,Semi_Formal_Academic,"environment,task,dimension",AI,,
chap2_para66,2,"Fully observable
vs.",前：chap2_para65 | 后：chap2_para67,AI_Popular,Semi_Formal_Academic,"observable,reinforcement learning,attention mechanism",无,,
chap2_para67,2,"partially observable
: If an agent’s sensors give it access to the complete state of the environment at each point in time, then we say that the task environment is fully observable. A task environment is effectively fully observable if the sensors detect all aspects that are
relevant
to the choice of action; relevance, in turn, depends on the
performance measure. Fully observable environments are convenient because the agent need not maintain any internal state to keep track of the world. An environment might be partially observable because of noisy and inaccurate sensors or because parts of the state are simply missing from the sensor data—for example, a vacuum agent with only a local dirt sensor cannot tell whether there is dirt in other squares, and an automated taxi cannot see what other drivers are thinking. If the agent has no sensors at all then the environment is
unobservable
. One might think that in such cases the agent’s plight is hopeless, but, as we discuss in
Chapter 4
, the agent’s goals may still be achievable, sometimes with certainty.",前：chap2_para66 | 后：chap2_para68,AI_Popular,Formal_Academic,"agent,sensor,environment",无,,
chap2_para68,2,"Single-agent
vs.",前：chap2_para67 | 后：chap2_para69,AI_Popular,Semi_Formal_Academic,"single-agent,reinforcement learning,attention mechanism",无,,
chap2_para69,2,"multiagent
: The distinction between single-agent and multiagent environments may seem simple enough. For example, an agent solving a crossword puzzle by itself is clearly in a single-agent environment, whereas an agent playing chess is in a two-agent environment. However, there are some subtle issues. First, we have described how an entity
may
be viewed as an agent, but we have not explained which entities
must
be viewed as agents. Does an agent
A
(the taxi driver for example) have to treat an object
B
(another vehicle) as an agent, or can it be treated merely as an object behaving according to the laws of physics, analogous to waves at the beach or leaves blowing in the wind? The key distinction is whether
B
’s behavior is best described as maximizing a performance measure whose value depends on agent
A
’s behavior.",前：chap2_para68 | 后：chap2_para70,AI_Popular,Formal_Academic,"agent,environment,multiagent",无,,
chap2_para70,2,"For example, in chess, the opponent entity
B
is trying to maximize its performance measure, which, by the rules of chess, minimizes agent
A
’s performance measure. Thus, chess is a
competitive
multiagent environment. On the other hand, in the taxi-driving environment, avoiding collisions maximizes the performance measure of all agents, so it is a partially
cooperative
multiagent environment. It is also partially competitive because, for example, only one car can occupy a parking space.",前：chap2_para69 | 后：chap2_para71,AI_Popular,Semi_Formal_Academic,"performance,measure,environment",无,,
chap2_para71,2,"The agent-design problems in multiagent environments are often quite different from those in single-agent environments; for example, communication often emerges as a rational behavior in multiagent environments; in some competitive environments, randomized behavior is rational because it avoids the pitfalls of predictability.",前：chap2_para70 | 后：chap2_para72,AI_Popular,Formal_Academic,"environment,multiagent,rational",无,,
chap2_para72,2,"Deterministic
vs.",前：chap2_para71 | 后：chap2_para73,AI_Popular,Semi_Formal_Academic,"deterministic,reinforcement learning,attention mechanism",无,,
chap2_para73,2,"nondeterministic
. If the next state of the environment is completely determined by the current state and the action executed by the agent(s), then we say the environment is deterministic; otherwise, it is nondeterministic. In principle, an agent need not worry about uncertainty in a fully observable, deterministic environment. If the environment is partially observable, however, then it could
appear
to be nondeterministic.",前：chap2_para72 | 后：chap2_para74,AI_Popular,Semi_Formal_Academic,"environment,nondeterministic,state",无,,
chap2_para74,2,"Most real situations are so complex that it is impossible to keep track of all the unobserved aspects; for practical purposes, they must be treated as nondeterministic. Taxi driving is clearly nondeterministic in this sense, because one can never predict the behavior of traffic exactly; moreover, one’s tires may blow out unexpectedly and one’s engine may seize up without warning. The vacuum world as we described it is deterministic, but variations can include nondeterministic elements such as randomly appearing dirt and an unreliable suction mechanism (Exercise
2.",前：chap2_para73 | 后：chap2_para75,AI_Popular,Formal_Academic,"nondeterministic,real,situation",无,,
chap2_para75,2,"VFIN
)
.",前：chap2_para74 | 后：chap2_para76,AI_Popular,Semi_Formal_Academic,"vfin,reinforcement learning,attention mechanism",无,,
chap2_para76,2,"One final note: the word
stochastic
is used by some as a synonym for “nondeterministic,” but we make a distinction between the two terms; we say that a model of the environment is stochastic if it explicitly deals with probabilities (e.g., “there’s a 25% chance of rain tomorrow”) and “nondeterministic” if the possibilities are listed without being quantified (e.g., “there’s a chance of rain tomorrow”).",前：chap2_para75 | 后：chap2_para77,AI_Popular,Formal_Academic,"stochastic,nondeterministic,e.g.",无,,
chap2_para77,2,"Episodic
vs.",前：chap2_para76 | 后：chap2_para78,AI_Popular,Semi_Formal_Academic,"episodic,reinforcement learning,attention mechanism",无,,
chap2_para78,2,"sequential
: In an episodic task environment, the agent’s experience is divided into atomic episodes. In each episode the agent receives a percept and then performs a single action. Crucially, the next episode does not depend on the actions taken in previous episodes. Many classification tasks are episodic. For example, an agent that has to spot defective parts on an assembly line bases each decision on the current part, regardless of previous decisions; moreover, the current decision doesn’t affect whether the next part is defective. In sequential environments, on the other hand, the current decision could affect all future decisions.",前：chap2_para77 | 后：chap2_para79,AI_Popular,Semi_Formal_Academic,"decision,episode,agent",无,,
chap2_para79,2,"4
Chess and taxi driving are sequential: in both cases, short-term actions can have long-term consequences. Episodic environments are much simpler than sequential environments because the agent does not need to think ahead.",前：chap2_para78 | 后：chap2_para80,AI_Popular,Semi_Formal_Academic,"sequential,environment,chess",无,,
chap2_para80,2,"Static
vs.",前：chap2_para79 | 后：chap2_para81,AI_Popular,Semi_Formal_Academic,"static,reinforcement learning,attention mechanism",无,,
chap2_para81,2,"dynamic
: If the environment can change while an agent is deliberating, then we say the environment is dynamic for that agent; otherwise, it is static. Static environments are easy to deal with because the agent need not keep looking at the world while it is deciding on an action, nor need it worry about the passage of time. Dynamic environments, on the other hand, are continuously asking the agent what it wants to do; if it hasn’t decided yet,
that counts as deciding to do nothing. If the environment itself does not change with the passage of time but the agent’s performance score does, then we say the environment is
semidynamic
. Taxi driving is clearly dynamic: the other cars and the taxi itself keep moving while the driving algorithm dithers about what to do next. Chess, when played with a clock, is semidynamic. Crossword puzzles are static.",前：chap2_para80 | 后：chap2_para82,AI_Popular,Semi_Formal_Academic,"environment,agent,dynamic",无,,
chap2_para82,2,"Discrete
vs.",前：chap2_para81 | 后：chap2_para83,AI_Popular,Semi_Formal_Academic,"discrete,reinforcement learning,attention mechanism",无,,
chap2_para83,2,"continuous
: The discrete/continuous distinction applies to the
state
of the environment, to the way
time
is handled, and to the
percepts
and
actions
of the agent. For example, the chess environment has a finite number of distinct states (excluding the clock). Chess also has a discrete set of percepts and actions. Taxi driving is a continuous-state and continuous-time problem: the speed and location of the taxi and of the other vehicles sweep through a range of continuous values and do so smoothly over time. Taxi-driving actions are also continuous (steering angles, etc.). Input from digital cameras is discrete, strictly speaking, but is typically treated as representing continuously varying intensities and locations.",前：chap2_para82 | 后：chap2_para84,AI_Popular,Semi_Formal_Academic,"continuous,action,state",Chess,,
chap2_para84,2,"Known
vs.",前：chap2_para83 | 后：chap2_para85,AI_Popular,Semi_Formal_Academic,"known,reinforcement learning,attention mechanism",无,,
